Location,Model Name,PRICE,HEIGHT,MONTH,YEAR
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L TALL BODY,1175,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650,15,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875,12,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095,13,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350,14,DECEMBER,2018
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS DVP 7.5+3LTR,4100,15,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS DVP 12+3LTR,4800,12,MAY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS SPECIAL VALUE 3L+2L BODY,2140,13,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS STARTER PACK  3 + 250MM TAWA,1450,14,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS STARTER PACK  5 + 280MM TAWA,1925,15,JULY,2019
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS 5+3+2 COMBI,3999,12,JULY,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS PRESSURE HANDI 3.3L (ALUMINIUM POWDER COATED),1900,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 3L (POLISHED),1650,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 5L (POLISHED),2225,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINUM PRESSURE COOKER 2L (POLISHED) POPULAR,1145,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE PAN (POLISHED ),2160,13,JUNE,2019
Coimbatore assembly line 2,PRESTIGE DELUXE DUO PLUS HARD ANODISED PRESSURE HANDI WITH STAINLESS STEEL LID 2L 01U AND GLASS LID 01U,2200,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 240MM (2.8L),1460,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL SAUCE PAN 180MM WITH LID (2L),1120,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL CASSROLE  200MM WITH LID (3L),1260,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 260MM (3.7L),1550,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL KADAI 220MM (2.1L),1350,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 220MM (1.7L),990,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 240MM (2.1L),1120,13,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL FRY PAN 260MM (2.9L),1250,14,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL CASSROLE  180MM WITH LID (2L),1070,15,APRIL,2019
Coimbatore assembly line 2,PRESTIGE PLATINA STAINLESS STEEL SAUCE PAN 200MM WITH LID (3L),1330,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA STAINLESS STEEL BABY HANDI 2L,2010,13,FEBRUARY,2019
Coimbatore assembly line 2,SOME PRODUCT,2310,14,APRIL,2019
Coimbatore assembly line 2,SOME PRODUCT 1,1220,15,APRIL,2019
Coimbatore assembly line 2,SOME PRODUCT 2,1120,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE STAINLESS STEEL SPECIAL VALUE PACK CONSISTING OF POPULAR STAINLESS STEEL PRESSURE COOKER 5L - 1U POPULAR STAINLESS STEEL PRESSURE COOKER 2L - 1U (TO BE SOLD AS A COMPLETE PACK ONLY AND NOT TO BE SOLD SEPARATELY),2995,12,FEBRUARY,2020
Coimbatore assembly line 2,SOME PRODUCT 3,2750,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS STEEL PRESSURE COOKER 2L,2180,12,APRIL,2019
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS STEEL PRESSURE COOKER 3L,2420,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS PRESSURE COOKER 3L,2760,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS PRESSURE COOKER 4L,2790,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE IRIS STAINLESS STEEL COOKWARE BUILD DIA WITH GLASS LID-1U FRY PAN 220MM DIA,3495,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE POPULAR PRESSURE COOKER 2L,1145,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE SVACHH 7.5 SAVACHH HA,3500,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE SVACHH SR PAN HA,3100,12,APRIL,2020
Coimbatore assembly line 2,PRESTIGE DELUXE ALPHA SVACHH STAINLESS STEEL PRESSURE COOKER 5.5L,3110,12,APRIL,2020
